[18-Jul-2016 01:22:56 UTC] PHP Warning:  require(/home/ubuntu/workspace/atarcoach/bootstrap/../vendor/autoload.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/atarcoach/bootstrap/autoload.php on line 17
[18-Jul-2016 01:22:56 UTC] PHP Stack trace:
[18-Jul-2016 01:22:56 UTC] PHP   1. {main}() /home/ubuntu/workspace/atarcoach/public/index.php:0
[18-Jul-2016 01:22:56 UTC] PHP   2. require() /home/ubuntu/workspace/atarcoach/public/index.php:22
[18-Jul-2016 01:22:56 UTC] PHP Fatal error:  require(): Failed opening required '/home/ubuntu/workspace/atarcoach/bootstrap/../vendor/autoload.php' (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/atarcoach/bootstrap/autoload.php on line 17
[18-Jul-2016 01:22:56 UTC] PHP Stack trace:
[18-Jul-2016 01:22:56 UTC] PHP   1. {main}() /home/ubuntu/workspace/atarcoach/public/index.php:0
[18-Jul-2016 01:22:56 UTC] PHP   2. require() /home/ubuntu/workspace/atarcoach/public/index.php:22
[04-Aug-2016 02:48:51 UTC] PHP Fatal error:  Class 'App\Http\Controllers\Subject' not found in /home/ubuntu/workspace/atarcoach/app/Http/Controllers/ExamController.php on line 30
[04-Aug-2016 02:48:51 UTC] PHP Stack trace:
[04-Aug-2016 02:48:51 UTC] PHP   1. {main}() /home/ubuntu/workspace/atarcoach/public/index.php:0
[04-Aug-2016 02:48:51 UTC] PHP   2. Illuminate\Foundation\Http\Kernel->handle() /home/ubuntu/workspace/atarcoach/public/index.php:54
[04-Aug-2016 02:48:51 UTC] PHP   3. Illuminate\Foundation\Http\Kernel->sendRequestThroughRouter() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:99
[04-Aug-2016 02:48:51 UTC] PHP   4. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:132
[04-Aug-2016 02:48:51 UTC] PHP   5. call_user_func:{/home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[04-Aug-2016 02:48:51 UTC] PHP   6. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[04-Aug-2016 02:48:51 UTC] PHP   7. call_user_func:{/home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[04-Aug-2016 02:48:51 UTC] PHP   8. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[04-Aug-2016 02:48:51 UTC] PHP   9. call_user_func_array:{/home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[04-Aug-2016 02:48:51 UTC] PHP  10. Illuminate\Foundation\Http\Middleware\CheckForMaintenanceMode->handle() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[04-Aug-2016 02:48:51 UTC] PHP  11. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:44
[04-Aug-2016 02:48:51 UTC] PHP  12. call_user_func:{/home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52}() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52
[04-Aug-2016 02:48:51 UTC] PHP  13. Illuminate\Foundation\Http\Kernel->Illuminate\Foundation\Http\{closure}() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52
[04-Aug-2016 02:48:51 UTC] PHP  14. Illuminate\Routing\Router->dispatch() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:246
[04-Aug-2016 02:48:51 UTC] PHP  15. Illuminate\Routing\Router->dispatchToRoute() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Routing/Router.php:675
[04-Aug-2016 02:48:51 UTC] PHP  16. Illuminate\Routing\Router->runRouteWithinStack() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Routing/Router.php:699
[04-Aug-2016 02:48:51 UTC] PHP  17. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Routing/Router.php:726
[04-Aug-2016 02:48:51 UTC] PHP  18. call_user_func:{/home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
